City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
373,Isangel,VU,77.11,light rain,-19.55,169.2667,Tanna Lodge
374,Dzaoudzi,YT,80.49,clear sky,-12.7887,45.2699,Le Rocher
377,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
381,Coahuayana,MX,87.28,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
382,Kandi,BJ,81.48,clear sky,11.1342,2.9386,Baric Motel De Kandi
387,Nisia Floresta,BR,86.81,clear sky,-6.0911,-35.2086,Rancho Crepusculo
389,Trincomalee,LK,79.02,overcast clouds,8.5711,81.2335,Welcombe Hotel
392,Bontang,ID,76.69,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
393,Kudahuvadhoo,MV,81.88,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
394,Mahanoro,MG,78.48,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
401,Cockburn Town,TC,75.69,clear sky,21.4612,-71.1419,Osprey Beach Hotel
409,Monrovia,LR,80.37,clear sky,6.3005,-10.7969,Sunset Inn
416,Puerto Leguizamo,CO,82.06,overcast clouds,-0.1934,-74.7819,la casona de juancho
426,Maningrida,AU,75.99,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
429,Tacuarembo,UY,77.23,clear sky,-31.7333,-55.9833,Complejo San Fructuoso
435,Camana,PE,75.09,broken clouds,-16.6228,-72.7111,Hostal Morales
438,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
440,Sao Raimundo Das Mangabeiras,BR,82.35,heavy intensity rain,-7.0219,-45.4811,Hotel Tropical
441,Fare,PF,81.45,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
442,Dabou,CI,80.4,broken clouds,5.3256,-4.3769,Résidence N'Da
451,San Vicente,AR,85.86,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
459,Kavaratti,IN,78.3,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
460,Alappuzha,IN,77.94,scattered clouds,9.49,76.3264,Panoramic Sea Resort
469,Omboue,GA,78.31,light rain,-1.5746,9.2618,Hotel Olako
470,Matara,LK,75.6,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
471,Kavieng,PG,81.16,broken clouds,-2.5744,150.7967,Nusa Island Retreat
473,Breves,BR,80.26,overcast clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
474,San Cristobal,VE,79.99,broken clouds,7.7669,-72.225,Posada Villaven C.A.
475,George Town,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
477,Bougouni,ML,83.46,clear sky,11.417,-7.479,Non Stop
478,Samarai,PG,81.55,light rain,-10.6167,150.6667,Nuli Sapi
487,Sao Felix Do Xingu,BR,84.9,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
491,Alyangula,AU,79.5,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
494,Meulaboh,ID,76.14,overcast clouds,4.1363,96.1285,Kost Pria
500,Guarapari,BR,82.29,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
502,Pemba,MZ,81.3,broken clouds,-12.974,40.5178,Guesthouse Samotina
505,Jatai,BR,82.31,very heavy rain,-17.8814,-51.7144,La Vitre Hotel
506,Koumac,NC,78.66,overcast clouds,-20.5667,164.2833,Le Monitel
507,Kalmunai,LK,75.9,overcast clouds,7.4167,81.8167,VS Villa
517,Grand-Santi,GF,80.02,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
519,Quelimane,MZ,80.55,scattered clouds,-17.8786,36.8883,Hotel Flamingo
526,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
537,Auki,SB,78.87,overcast clouds,-8.7676,160.7034,Auki Motel
538,Itapaci,BR,78.62,overcast clouds,-14.9508,-49.5494,Gold Pallace Hotel
543,Iralaya,HN,84.29,clear sky,15.0,-83.2333,Iglesia morava renovada
547,Pimentel,PE,79.09,few clouds,-6.8367,-79.9342,Casona Del Muelle
552,Cumana,VE,86.09,few clouds,10.4635,-64.1775,Posada Acuarela Los Roques
556,Amahai,ID,77.99,broken clouds,-3.3333,128.9167,HOTEL ISABELA
557,Maragogi,BR,82.74,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
565,Manavalakurichi,IN,80.69,overcast clouds,8.1333,77.3,Jebinrio home
576,Honolulu,US,78.62,scattered clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
579,Farafangana,MG,78.28,moderate rain,-22.8167,47.8333,Miarina
580,Ixtapa,MX,76.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
581,Nocupetaro,MX,84.83,clear sky,19.05,-101.15,"Hotel ""La Casa Embrujada"""
586,Chapada Dos Guimaraes,BR,76.51,overcast clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
604,Bondoukou,CI,82.72,clear sky,8.0333,-2.8,Prestige Hotel
606,Porto Novo,BJ,84.02,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
607,Tutoia,BR,87.78,scattered clouds,-2.7619,-42.2744,Pousada Guará's
615,Kieta,PG,79.36,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
616,Bobo Dioulasso,BF,81.05,dust,11.1771,-4.2979,RAN Hotel Somketa
621,Labuhan,ID,77.36,overcast clouds,-6.8844,112.2051,DoubleFAG
622,Stabat,ID,79.0,overcast clouds,3.761,98.4513,Link VII damai
623,Redlands,US,75.24,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
629,Pekan,MY,77.11,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
630,Mbandaka,CD,80.29,clear sky,0.0487,18.2603,Guest House Epervier
632,La Union,PE,88.16,few clouds,-5.4,-80.75,Los Portales
633,Bull Savanna,JM,79.86,clear sky,17.8868,-77.5902,Big Red's
650,The Valley,AI,77.14,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
659,Imbituba,BR,80.49,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
662,Balangiga,PH,78.17,scattered clouds,11.1097,125.3875,Country Inn Bed and Breakfast
665,Juruti,BR,79.05,moderate rain,-2.1522,-56.0922,Pousada Marupiara
672,Tha Chang,TH,76.59,scattered clouds,9.2642,99.1922,สุริยาค้าไม้
680,Sao Joao Da Barra,BR,86.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
681,San Carlos De Bariloche,AR,82.15,few clouds,-41.1456,-71.3082,Hotel Patagonia
684,Buala,SB,80.69,light rain,-8.145,159.5921,Maringe Lagoon Lodge
685,Pontian Kecil,MY,78.93,moderate rain,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
686,Catia La Mar,VE,87.49,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
691,Cap Malheureux,MU,79.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
695,Chateaubelair,VC,83.01,few clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
