City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Maramba,TZ,-5.05,38.6167,66.67,90,100,4.63,light rain
70,Hilo,US,19.7297,-155.09,71.26,91,100,5.75,moderate rain
71,Cody,US,44.5263,-109.0565,42.26,28,0,16.11,clear sky
72,Bluff,NZ,-46.6,168.3333,43.81,78,6,4.79,clear sky
73,Rocha,UY,-34.4833,-54.3333,71.35,44,0,19.66,clear sky
74,Tilichiki,RU,60.4667,166.1,-13.94,84,10,9.22,clear sky
75,Kachug,RU,53.9606,105.8817,3.51,99,95,2.71,overcast clouds
76,Den Helder,NL,52.9599,4.7593,42.98,73,75,24.0,broken clouds
77,Cherskiy,RU,68.75,161.3,-31.16,100,24,1.1,few clouds
78,Santo Angelo,BR,-28.2992,-54.2631,85.91,23,0,15.28,clear sky
79,Voznesenye,RU,61.0106,35.4781,18.81,90,100,10.78,overcast clouds
80,Port Elizabeth,ZA,-33.918,25.5701,78.1,88,20,17.27,light rain
81,Panguna,PG,-6.3164,155.4848,68.27,94,100,0.67,overcast clouds
82,Kununurra,AU,-15.7667,128.7333,75.18,100,100,0.0,overcast clouds
83,Butaritari,KI,3.0707,172.7902,81.39,77,34,15.23,light rain
84,Stornoway,GB,58.2093,-6.3865,38.93,77,75,7.0,broken clouds
85,Adeje,ES,28.1227,-16.726,68.88,55,0,3.0,clear sky
86,Dikson,RU,73.5069,80.5464,-20.54,99,94,9.64,overcast clouds
87,Portland,US,45.5234,-122.6762,55.27,80,100,1.01,fog
88,Yellowknife,CA,62.456,-114.3525,-5.58,87,100,13.8,light snow
89,Tessalit,ML,20.1986,1.0114,70.7,10,0,6.76,clear sky
90,Ponta Do Sol,PT,32.6667,-17.1,63.23,53,6,10.54,clear sky
91,Trelew,AR,-43.249,-65.3051,80.55,23,10,16.35,clear sky
92,Makakilo City,US,21.3469,-158.0858,77.32,74,0,3.44,clear sky
93,Severo-Kurilsk,RU,50.6789,156.125,29.68,83,100,14.97,overcast clouds
94,Namibe,AO,-15.1961,12.1522,75.06,69,100,13.47,overcast clouds
95,Kokuy,RU,52.2037,117.5529,-13.95,100,100,1.36,overcast clouds
96,Alofi,NU,-19.0595,-169.9187,80.44,78,100,12.84,overcast clouds
97,Rovaniemi,FI,66.5,25.7167,22.41,93,100,12.66,light snow
98,Luanda,AO,-8.8368,13.2343,76.46,80,97,14.14,overcast clouds
99,Divnogorsk,RU,55.9594,92.3619,21.69,91,100,4.65,overcast clouds
100,Georgetown,MY,5.4112,100.3354,78.73,91,40,0.0,scattered clouds
101,Saldanha,ZA,-33.0117,17.9442,63.9,95,38,8.63,scattered clouds
102,Pando,UY,-34.7167,-55.95,68.18,72,75,14.97,broken clouds
103,Machesney Park,US,42.3472,-89.039,37.63,63,75,4.0,broken clouds
104,Hobart,AU,-42.8794,147.3294,53.06,87,5,1.99,clear sky
105,Caravelas,BR,-17.7125,-39.2481,83.34,65,7,10.25,clear sky
106,Bilaspur,IN,22.0833,82.15,58.8,28,0,4.18,clear sky
107,Fiumicino,IT,41.7675,12.2291,56.07,87,0,3.44,clear sky
108,Trinidad,BO,-14.8333,-64.9,82.38,78,75,4.61,broken clouds
109,Sabha,LY,27.0377,14.4283,60.17,19,10,8.59,clear sky
110,Vasai,IN,19.47,72.8,75.29,64,7,4.05,clear sky
111,Saint-Dizier,FR,48.4167,5.0833,46.45,89,100,32.35,light rain
112,Carballo,ES,43.213,-8.691,53.29,93,73,1.5,broken clouds
113,Mahebourg,MU,-20.4081,57.7,79.25,83,90,13.02,overcast clouds
114,Nikolskoye,RU,59.7035,30.7861,35.87,94,100,12.28,light snow
115,Punta Arenas,CL,-53.15,-70.9167,69.91,52,75,16.11,broken clouds
116,Seminole,US,28.7086,-81.2081,71.06,87,100,1.99,overcast clouds
117,Dingle,PH,10.9995,122.6711,73.38,89,63,8.48,broken clouds
118,Coquimbo,CL,-29.9533,-71.3436,69.53,68,75,13.8,broken clouds
119,Kapaa,US,22.0752,-159.319,75.52,80,75,1.01,light rain
120,Virginia Beach,US,36.8529,-75.978,41.05,74,100,12.66,overcast clouds
121,Palmares Do Sul,BR,-30.2578,-50.5097,80.49,49,1,11.81,clear sky
122,Port Blair,IN,11.6667,92.75,78.66,81,12,9.93,few clouds
123,Pachino,IT,36.7186,15.0907,55.44,82,100,11.63,overcast clouds
124,Bathsheba,BB,13.2167,-59.5167,83.01,65,40,18.41,scattered clouds
125,Newport,GB,51.5877,-2.9984,48.45,73,15,4.0,few clouds
126,Soloneshnoye,RU,51.6544,84.3197,9.23,85,4,6.31,clear sky
127,Sarny,UA,51.338,26.6019,33.37,98,100,13.87,overcast clouds
128,Faanui,PF,-16.4833,-151.75,81.23,75,100,22.88,overcast clouds
129,Galion,US,40.7337,-82.7899,34.29,80,7,12.46,clear sky
130,Kaitangata,NZ,-46.2817,169.8464,49.93,73,10,1.45,clear sky
131,Bodden Town,KY,19.2833,-81.25,84.2,66,20,8.01,few clouds
132,Yumaguzino,RU,52.9041,56.3933,13.01,96,100,3.6,overcast clouds
133,Lenoir,US,35.2335,-77.6497,50.99,55,40,6.91,scattered clouds
134,Muriwai Beach,NZ,-36.8167,174.45,67.86,97,100,13.8,overcast clouds
135,Dunedin,NZ,-45.8742,170.5036,54.81,74,0,3.13,clear sky
136,Timra,SE,62.487,17.3257,22.71,92,73,2.3,broken clouds
137,Tawang,IN,27.5833,91.8667,26.82,64,0,4.72,clear sky
138,Punta Alta,AR,-38.8759,-62.0736,67.91,65,67,13.89,broken clouds
139,Panlaitan,PH,12.1191,119.8486,80.8,71,100,9.73,overcast clouds
140,Hithadhoo,MV,-0.6,73.0833,82.47,73,32,12.55,scattered clouds
141,Qena,EG,26.1615,32.7183,59.54,30,0,7.36,clear sky
142,Labuan,MY,5.2767,115.2417,77.16,81,65,11.88,broken clouds
143,Victoria,HK,22.2855,114.1577,62.65,84,100,1.01,overcast clouds
144,Souillac,MU,-20.5167,57.5167,79.36,85,99,11.43,overcast clouds
145,Tahoua,NE,14.8888,5.2692,72.9,11,0,11.36,clear sky
